# Dec(deg) RA(deg) MueE(photon*m)  NChan   AngErrorEstimate(deg)   MJD
57.313 27.052 1606.736 35 0.715 54916.40232040
0.407 211.646 2527.836 18 0.728 54916.52371146
5.606 150.592 1222.983 19 0.569 54916.55660012
28.378 42.786 1821.150 15 1.763 54916.57643597
28.031 187.000 1155.922 20 0.845 54916.60912840
9.149 217.293 11242.720 88 1.512 54916.61736127
7.306 271.638 13096.289 46 0.906 54916.62326121
15.144 308.439 1466.449 21 0.755 54916.64653938
35.247 201.444 2183.106 29 0.655 54916.64854669
73.178 165.454 1161.419 18 1.567 54916.66256515
1.817 271.583 8073.648 33 1.305 54916.70357064
30.761 172.821 3715.073 42 0.561 54916.71052710
30.119 135.130 1695.386 24 1.109 54916.71721440
31.846 11.494 1192.447 18 0.668 54916.72039215
10.745 221.072 1405.765 19 0.640 54916.72316068
8.085 142.914 2704.849 26 1.573 54916.73824713
1.128 347.342 2015.112 23 1.874 54916.75503354
27.235 337.167 2422.484 17 0.812 54916.77571676
0.016 177.962 1975.419 20 0.755 54916.82201789
3.200 79.871 3983.543 42 1.228 54916.84549425
1.877 207.100 6764.155 25 0.843 54916.90575822
3.091 233.079 2140.895 27 1.460 54916.93470638
2.881 9.566 3004.570 18 2.350 54916.97123905
1.499 150.835 2201.843 13 1.400 54917.02776432
44.443 119.404 2967.950 52 0.681 54917.04398086
45.327 346.914 1448.824 39 0.770 54917.05394863
67.007 184.541 1465.198 18 0.802 54917.09255789
38.389 97.035 1570.505 15 0.777 54917.09663121
14.515 337.586 6708.050 15 0.509 54917.09721506
8.213 37.220 6426.210 28 2.951 54917.12366644
24.468 316.229 1672.471 28 1.644 54917.12530800
35.906 186.294 1302.900 21 1.740 54917.13806175
6.437 171.220 2144.753 14 0.683 54917.16373152
11.800 267.336 3617.337 18 1.239 54917.19394642
31.693 153.848 1432.234 15 1.491 54917.20421761
47.793 166.588 619.209 22 0.805 54917.20961667
35.415 192.655 4803.876 13 1.162 54917.23738829
31.893 118.648 2158.509 20 0.869 54917.26219591
41.949 253.736 1965.494 24 0.532 54917.35011715
37.227 303.649 1396.290 19 1.117 54917.35087036
0.727 359.602 11085.229 27 1.279 54917.48978546
28.599 157.833 2126.133 20 1.503 54917.50932107
43.023 39.303 1393.083 17 2.297 54917.51857228
9.721 310.859 1691.309 16 2.530 54917.54349192
47.989 9.807 5668.027 35 1.482 54917.58505697
39.252 318.571 1562.790 25 1.183 54917.61575472
12.147 311.444 1171.202 15 0.686 54917.62197153
2.073 88.583 4451.452 21 2.695 54917.68967677
59.527 271.990 2318.730 21 2.636 54917.72669657
76.685 337.517 2438.270 37 0.576 54917.73130436
43.356 234.237 969.236 31 0.716 54917.74953946
80.668 34.348 1413.103 31 0.970 54917.76585712
28.338 69.774 5786.335 20 1.029 54917.77484700
9.752 97.761 5338.144 15 0.897 54917.78831182
31.382 173.983 2072.671 17 0.644 54917.83283384
10.805 247.609 2636.813 24 0.620 54917.84077199
18.862 137.665 3313.238 25 0.966 54917.86821813
7.676 41.606 10340.742 23 0.738 54917.87213093
20.932 343.410 1919.219 16 1.957 54917.87271007
8.512 169.799 3570.107 23 0.859 54917.88977680
11.696 265.911 2748.644 24 2.407 54917.89647507
57.460 115.381 2050.791 14 2.739 54917.90100507
14.102 307.348 2979.937 20 2.758 54917.92538751
11.121 27.683 2719.928 28 1.115 54917.93965891
36.111 169.944 3568.937 31 2.147 54917.94373003
10.528 55.745 8389.565 16 1.204 54917.98175220
17.201 271.370 1321.674 15 0.647 54917.98983798
24.966 142.275 5872.024 34 0.856 54917.99148630
66.158 256.826 3098.754 34 0.606 54918.00934826
51.436 323.512 5169.273 77 0.436 54918.03973191
39.890 182.681 1477.808 29 0.517 54918.24978154
69.505 2.882 2709.335 34 1.024 54918.26627420
9.728 281.668 2330.631 23 2.013 54918.29160314
1.969 253.496 26719.930 27 0.526 54918.29382047
21.283 133.902 2636.227 18 0.827 54918.30299514
45.857 56.589 1660.731 17 0.700 54918.30378569
31.798 132.968 1992.482 22 0.688 54918.30434646
47.802 214.887 2349.120 38 0.940 54918.30614730
78.670 136.310 3825.392 40 1.220 54918.32180070
34.327 17.625 2282.435 14 0.608 54918.34874505
26.927 115.811 66448.950 152 1.140 54918.34952090
29.844 153.983 1112.495 14 2.167 54918.64882415
78.820 59.085 1042.058 20 1.102 54918.66911105
11.022 79.422 3304.895 18 2.049 54918.71447323
36.536 136.506 1955.665 18 0.981 54918.71743276
14.191 305.809 13753.915 44 2.192 54918.75144201
60.268 329.803 1618.047 22 1.962 54918.76520752
7.470 262.886 2242.916 20 0.959 54918.77943176
69.843 81.948 2936.640 53 0.531 54918.80061177
2.457 133.193 7892.491 26 1.515 54918.81847836
36.356 284.994 8012.781 57 1.240 54918.94762382
2.679 181.911 1646.141 32 0.814 54919.22105520
53.898 244.305 2911.665 44 0.417 54919.25805996
18.991 170.770 1552.138 19 1.327 54919.26079034
21.656 342.608 6894.832 23 1.227 54919.61777813
23.072 320.328 4950.374 15 0.835 54919.68494746
16.156 323.160 7888.986 42 1.530 54919.70902539
9.285 96.276 3937.583 37 1.308 54919.80341035
14.309 37.298 1539.281 16 1.832 54919.88044495
35.582 263.159 885.452 19 0.774 54919.91948012
25.944 205.135 11837.404 45 0.431 54919.96375203
3.548 152.858 2394.244 26 0.510 54920.10004275
0.212 309.415 24341.718 46 0.296 54920.11641169
12.140 37.814 10204.794 33 0.655 54920.12075128
15.678 13.900 3103.479 40 0.523 54920.18511900
5.324 153.956 1677.980 18 1.481 54920.19398316
8.515 49.637 17330.234 74 2.711 54920.23922666
25.385 55.784 1613.531 13 1.656 54920.24716878
7.964 54.299 4340.054 28 2.430 54920.25847805
2.307 12.595 3116.687 16 1.750 54920.28644150
36.274 194.537 1493.816 19 1.345 54920.31923373
50.148 62.776 1637.071 23 0.605 54920.34023671
43.621 226.830 2529.174 20 0.645 54920.44045304
8.792 328.980 3081.162 19 0.891 54920.49042074
36.081 330.714 5143.637 67 0.255 54920.50617612
40.372 292.909 1264.806 14 1.417 54920.52451809
3.941 122.651 2211.160 17 0.787 54920.53846483
26.319 156.392 2078.218 17 1.116 54920.67949216
38.426 216.982 2439.125 15 0.972 54920.70865653
32.873 173.245 1497.295 33 0.519 54920.73239091
2.464 63.911 1362.745 20 0.710 54920.74025697
10.004 222.946 864.645 20 1.331 54920.80391173
3.654 36.269 13112.054 22 0.424 54920.85503563
54.812 153.594 27966.555 37 0.666 54920.91361904
70.414 244.546 2390.797 21 1.496 54921.04406646
68.881 335.914 2743.992 18 1.276 54921.05328785
30.802 309.984 1326.908 26 0.852 54921.05648533
37.303 306.991 2451.299 13 0.981 54921.05685726
2.709 290.615 1849.048 18 0.527 54921.06171103
6.036 47.713 3056.065 17 1.770 54921.13934250
35.076 234.137 34251.751 118 0.947 54921.15861926
25.679 21.944 2153.489 14 2.510 54921.15916092
23.580 197.524 2281.882 31 1.576 54921.16271412
68.920 260.155 1940.353 13 2.323 54921.17541114
3.498 13.581 6823.255 80 0.450 54921.25621659
26.360 19.776 41658.512 79 0.436 54921.28350365
3.969 261.890 3664.788 22 2.026 54921.29073633
65.968 345.713 1135.924 20 0.545 54921.33658677
1.597 331.994 9744.833 36 1.270 54921.43931784
13.269 172.109 10592.568 57 0.700 54921.44065041
42.545 302.272 2038.909 14 1.945 54921.44514718
31.839 267.515 2700.126 15 0.667 54921.49304074
55.466 253.556 1636.133 15 0.888 54921.50269198
16.504 75.346 3994.157 24 2.557 54921.55524595
22.094 312.395 3879.927 25 2.168 54921.59053292
20.814 158.821 5423.600 18 2.080 54921.62100383
34.939 165.272 1915.215 20 1.168 54921.63584515
17.509 19.490 1203.879 20 0.943 54921.63690556
55.555 220.011 3738.186 44 1.276 54921.66106945
66.991 215.686 1444.565 22 0.555 54921.68378025
11.285 254.699 3708.643 21 1.164 54921.70996769
12.327 205.952 15457.862 59 0.957 54921.73388043
56.016 52.849 908.124 13 0.894 54922.10780665
43.025 223.079 2426.947 16 1.218 54922.12811239
7.886 323.397 3349.964 18 1.271 54922.12896568
36.940 70.085 3961.854 15 2.296 54922.14064089
3.582 27.748 6647.842 21 0.486 54922.18544290
34.961 173.342 7765.193 18 2.023 54922.21758745
28.329 234.918 2677.793 19 2.654 54922.26185594
40.993 215.373 4743.196 18 0.740 54922.27475480
54.913 199.990 1239.923 19 2.375 54922.40737177
7.560 115.967 2173.764 22 0.628 54922.51165568
49.347 333.998 2656.899 20 0.731 54922.52042658
48.236 220.984 1256.182 17 1.046 54922.52158450
11.831 306.980 1405.908 16 0.937 54922.53352114
40.785 241.207 1589.533 23 1.640 54922.55052244
49.143 156.809 1234.848 20 2.125 54922.55305318
21.072 22.764 1646.189 17 0.954 54922.56214776
6.093 78.138 3828.729 17 2.166 54922.57801259
1.918 285.128 2377.176 18 2.167 54922.64011112
63.524 121.015 1891.664 21 2.564 54922.67675786
7.894 155.396 3729.403 30 1.054 54922.69793914
55.510 154.479 1647.660 13 1.763 54922.70044342
44.049 272.492 1844.006 27 0.494 54922.76099324
24.954 268.561 1645.581 16 0.794 54922.78225842
33.830 224.708 1807.769 27 0.520 54922.79965144
38.807 43.969 1804.979 27 0.530 54922.81147952
15.254 206.464 1958.120 16 0.946 54922.82857285
1.690 73.279 1669.108 17 0.544 54922.83360487
26.911 262.612 1150.846 15 0.523 54922.83968636
49.663 58.028 1222.577 15 0.834 54922.86312167
24.329 67.372 1995.735 23 0.649 54922.86842947
4.503 74.246 3190.636 46 0.516 54922.87632294
68.666 42.153 2120.827 32 0.745 54922.90566166
18.785 69.669 2553.086 17 0.758 54922.91397586
2.096 79.468 3852.109 48 0.406 54922.93001147
34.185 284.264 2527.544 16 0.641 54922.96629048
50.889 39.022 1141.452 15 0.911 54923.03027721
44.410 200.596 6147.123 22 1.014 54923.08471088
17.500 157.827 688.403 21 0.853 54923.18869159
52.602 284.284 1945.273 16 1.128 54923.19757443
21.367 39.079 1081.985 22 1.339 54923.21267218
30.452 226.086 1857.098 19 0.717 54923.23808009
24.691 64.796 2016.535 16 0.728 54923.26270641
52.557 248.867 2263.490 15 1.736 54923.26508848
44.647 36.198 3039.047 44 0.975 54923.27395258
39.533 200.372 870.549 18 1.371 54923.31608310
22.876 207.072 2808.341 38 1.477 54923.33120063
19.593 220.666 1836.281 14 1.091 54923.34438121
50.034 95.220 1901.687 27 0.684 54923.38578496
4.664 115.689 2297.644 22 0.455 54923.40678289
9.654 268.684 2661.811 32 0.774 54923.41325386
60.647 228.174 1244.086 26 0.757 54923.42496738
7.345 219.695 2245.744 26 1.703 54923.43719989
22.179 111.464 1151.488 18 1.069 54923.43750243
22.386 74.380 1597.605 13 0.948 54923.44511928
10.890 295.942 3826.931 24 0.372 54923.48668149
5.355 134.741 5052.941 22 2.661 54923.49820915
64.025 50.952 1379.445 23 1.387 54923.50895268
27.302 115.803 5959.347 25 1.389 54923.52397010
1.284 267.115 1583.666 22 1.084 54923.53333940
3.774 17.267 1735.366 22 1.811 54923.53623800
51.626 111.339 1257.003 14 2.582 54923.59018901
12.414 14.005 2269.277 15 1.239 54923.60951342
35.149 31.748 4135.577 35 0.983 54923.62149833
6.873 294.790 2027.211 16 0.813 54923.64096174
41.842 282.638 4943.487 18 1.801 54923.67281411
26.235 172.858 3297.836 14 2.902 54923.71628424
60.339 289.992 961.594 16 0.857 54923.72290017
0.261 34.949 1885.389 16 1.418 54923.72372788
26.290 172.028 3401.504 13 1.257 54923.74154281
30.035 283.161 4226.892 17 0.701 54923.77936730
5.264 209.083 1150.527 14 0.917 54923.83128661
23.712 76.954 1794.935 27 0.535 54923.90676577
3.112 49.421 3113.648 33 1.661 54923.90751543
38.079 81.394 5840.035 20 2.376 54923.92766367
6.300 123.420 4113.615 22 1.696 54923.95098702
62.989 261.994 1696.939 18 0.798 54923.96852629
48.016 91.431 1521.899 23 0.601 54923.97027555
55.009 151.653 837.330 16 0.973 54923.99875804
27.448 276.818 2538.913 17 1.799 54924.02464423
28.913 117.827 3440.425 42 0.649 54924.05279503
19.994 287.645 2372.803 17 1.128 54924.05934242
5.927 325.190 2378.414 24 1.803 54924.08251829
46.119 344.810 1108.157 13 1.287 54924.10186040
18.811 347.585 5100.841 34 1.023 54924.19298131
2.489 292.646 11636.949 59 1.666 54924.19380151
10.987 240.015 17167.819 78 0.841 54924.19959442
22.391 221.750 1189.920 22 1.932 54924.20933588
6.210 43.910 2477.770 32 0.422 54924.31106330
34.692 213.585 1674.937 21 0.594 54924.32677278
53.647 16.313 1571.640 19 1.142 54924.33772395
21.545 105.565 1740.426 22 2.259 54924.34752201
4.410 183.320 3125.219 24 0.917 54924.36811624
22.336 44.210 2613.806 16 1.116 54924.37490840
18.770 175.450 3009.299 21 1.048 54924.42287399
32.950 14.680 2899.693 16 1.701 54924.42755887
22.300 108.612 8624.394 18 0.911 54924.44757708
9.141 282.083 3746.797 18 1.264 54924.45831579
45.580 163.226 2335.269 20 1.403 54924.50750313
30.715 235.916 2136.242 16 2.208 54924.53684977
12.574 146.327 1716.668 23 0.653 54924.54745124
13.907 293.678 755.207 19 1.041 54924.58395038
5.352 197.610 3459.593 32 0.460 54924.59101920
21.407 65.254 2845.540 16 2.995 54924.70539627
24.016 344.121 2773.023 20 0.964 54924.75637266
5.669 238.554 2185.325 27 2.451 54924.76417005
3.702 254.562 5372.921 26 0.363 54924.79005539
15.392 344.491 2663.831 25 1.191 54924.81646229
5.901 234.136 2838.011 18 2.513 54924.82879516
34.290 204.980 1514.138 28 1.773 54924.84913703
74.185 318.567 863.047 19 0.628 54924.88309860
14.101 251.327 2820.084 47 0.535 54924.89000905
29.390 299.605 2347.743 16 0.893 54924.91330537
31.250 320.902 3834.557 21 1.978 54924.91513955
56.089 192.016 1393.866 20 0.624 54924.93821003
5.531 208.094 2662.588 17 1.069 54924.98169277
19.141 8.782 8772.288 33 1.008 54925.02724721
17.938 224.678 4544.882 25 0.794 54925.11291329
36.411 12.254 3567.962 15 1.048 54925.11841865
41.342 76.719 1099.065 15 1.887 54925.15529708
26.655 352.978 872.034 15 0.491 54925.19425082
5.291 258.250 2362.528 22 1.075 54925.19520549
10.736 56.064 1607.678 15 1.903 54925.20044340
11.954 297.727 3604.006 29 2.925 54925.21667544
9.168 16.276 1439.788 27 0.612 54925.25542810
12.795 358.277 10462.088 26 1.123 54925.26489400
47.173 278.921 2401.461 33 0.411 54925.50975582
62.742 142.956 1482.063 20 2.799 54925.51157073
3.324 333.607 1881.645 28 0.928 54925.53852712
27.517 236.578 2575.663 21 1.010 54925.54798188
53.769 314.082 1308.146 22 0.743 54925.58122737
46.239 161.254 1411.790 22 0.928 54925.58197070
16.084 324.830 1717.324 19 0.617 54925.64862021
0.061 83.078 8425.755 37 1.306 54925.66655589
66.214 83.554 3387.122 48 0.810 54925.68124267
34.948 339.857 3499.699 37 0.569 54925.68932237
1.354 35.104 1147.566 16 0.924 54925.71754072
11.908 242.406 1156.695 15 1.795 54925.73662161
15.001 235.694 5044.089 21 0.722 54925.73931833
49.395 24.099 1397.070 15 1.352 54925.82283636
18.676 250.860 1865.184 16 2.380 54925.84608585
59.164 343.203 2132.108 27 1.016 54925.86194508
20.140 318.882 3830.491 30 0.746 54925.87272633
2.576 233.180 1593.468 18 2.175 54925.90104834
14.149 332.925 1649.078 16 0.676 54925.99076967
18.734 180.583 63844.743 101 0.759 54926.00529492
1.173 128.109 4750.138 34 0.656 54926.02434267
15.066 9.665 2141.989 20 1.601 54926.02444355
5.620 320.412 2175.624 16 0.532 54926.04156501
16.288 185.331 2199.978 19 0.647 54926.05268134
58.424 333.428 1533.340 13 1.328 54926.11909120
30.436 173.464 1514.164 30 1.108 54926.12232618
32.779 40.373 1241.027 16 0.571 54926.15606764
42.593 246.508 1314.562 19 1.460 54926.17214797
27.220 128.496 3085.342 16 1.669 54926.21886460
42.886 155.769 1090.148 15 1.519 54926.22902673
17.824 267.517 6092.837 36 2.258 54926.23651268
4.687 228.520 1955.066 19 1.265 54926.23766647
14.243 206.502 2479.258 29 1.387 54926.29325909
39.145 122.375 4968.521 39 0.966 54926.37519546
64.924 68.958 1391.271 14 1.867 54926.40842745
21.863 200.467 3391.968 20 1.106 54926.41667737
48.059 278.710 1079.449 22 0.757 54926.43225984
54.703 108.428 1904.195 20 0.446 54926.45850790
84.729 276.205 1073.655 24 2.806 54926.51012599
32.415 325.783 3404.684 17 1.488 54926.61867719
0.104 0.565 1050.553 17 1.062 54926.63121684
78.340 164.469 1484.289 26 2.170 54926.64514468
71.668 293.129 1061.486 19 1.425 54926.69459873
4.125 71.381 1494.515 18 1.598 54926.73771165
4.211 341.678 2485.097 21 1.187 54926.75839733
7.966 42.665 1978.350 26 0.518 54926.78790168
42.573 285.009 2188.151 19 0.915 54926.85139898
48.988 61.243 1201.270 24 0.389 54926.90658605
47.883 200.983 1734.982 20 1.456 54926.94119241
0.765 260.807 1052.193 18 1.166 54926.94993000
52.681 89.749 3027.831 22 0.811 54926.99896788
17.834 285.959 1614.000 14 1.264 54927.01996677
30.096 42.976 3052.100 17 1.778 54927.04122770
41.778 2.650 1911.316 20 1.314 54927.09733530
42.976 260.655 6356.694 30 1.388 54927.14669104
16.760 203.024 2031.422 25 0.586 54562.37911274
11.290 97.501 8373.745 24 0.712 54562.38789162
17.572 343.547 2386.459 21 2.221 54562.46375599
19.803 263.345 2475.900 18 1.009 54562.46555081
71.651 96.531 2593.101 16 0.856 54562.49397737
11.874 97.162 1986.298 22 0.468 54562.50563027
56.738 175.449 3464.898 44 0.374 54562.55871735
14.609 314.870 3568.022 44 0.639 54562.57965195
2.608 164.956 2281.356 23 0.456 54562.62264174
17.584 34.408 2202.230 24 1.024 54562.65913271
40.364 255.277 1982.863 17 2.313 54562.70943433
29.438 116.699 11025.417 26 0.967 54562.71429234
2.329 236.494 4395.748 20 0.462 54562.71625344
3.365 185.863 26130.169 30 1.156 54562.71973836
28.871 50.950 2551.618 21 1.153 54562.72502613
14.215 181.488 4823.629 49 0.552 54562.73091035
0.833 186.642 1378.122 16 1.286 54562.75956697
25.585 38.859 12894.619 100 0.369 54562.76301386
12.658 50.017 2002.420 21 0.992 54562.78553556
3.637 0.348 2524.176 34 0.696 54562.79709791
39.255 244.161 1363.894 18 1.111 54562.79865263
26.695 84.882 2557.055 17 0.512 54562.80325378
17.256 316.088 2881.585 15 2.013 54562.84600592
32.095 275.917 1898.569 27 0.770 54562.85750432
15.164 238.525 2223.787 20 1.321 54562.87338311
54.621 94.936 1540.269 18 1.881 54562.88133550
13.677 34.913 1010.423 18 1.773 54562.88449769
13.893 192.953 5289.993 27 2.256 54562.89456178
18.537 238.372 6453.749 20 0.808 54562.96755620
16.387 7.242 9814.784 32 1.117 54562.98452771
11.056 21.025 1720.998 14 2.165 54562.99895553
19.548 284.940 1027.172 24 0.809 54563.01062418
59.081 55.302 1270.554 16 1.856 54563.01605962
1.978 29.258 2361.690 19 1.120 54927.15732812
26.492 53.986 1587.966 19 1.878 54927.16152864
23.615 295.939 3113.765 20 0.991 54927.21145386
40.970 301.990 1495.522 17 1.268 54927.25742526
16.346 76.749 3026.910 16 0.528 54927.26369434
51.997 286.634 1298.679 13 0.585 54927.27516404
7.125 82.213 6496.754 23 1.330 54927.31565057
73.618 18.270 1574.966 15 1.205 54927.33221933
62.567 59.745 1671.522 30 0.583 54927.36121148
62.679 220.588 1416.791 23 0.511 54927.42255589
65.781 15.440 1118.482 22 1.925 54927.42631595
33.330 138.662 9654.867 21 1.367 54927.42937235
38.304 130.108 1091.067 15 0.994 54927.43783055
27.870 52.676 1483.742 18 1.052 54927.46062249
35.073 207.996 20497.510 105 1.197 54927.46561037
0.217 208.176 3229.593 20 1.357 54927.46603588
37.773 135.575 1030.478 17 0.638 54927.47907139
44.882 239.082 3458.330 40 1.260 54927.48693654
52.575 337.881 2564.534 19 0.969 54927.63454266
4.405 238.728 18984.065 49 2.478 54927.64078327
10.929 101.864 1459.023 15 1.771 54927.66702974
28.892 186.504 2637.508 26 1.643 54927.68885911
32.546 240.954 4107.540 20 1.060 54927.72666327
31.567 197.458 1682.262 24 0.404 54927.73364514
7.059 5.789 1456.529 17 0.770 54927.74972417
11.025 32.747 8837.422 36 1.412 54927.80542929
3.280 57.893 3379.848 28 0.987 54927.81876226
24.643 224.308 1037.624 15 2.595 54927.83944739
48.028 182.005 1998.661 17 2.415 54927.86889767
20.068 352.355 3277.573 19 2.301 54927.89066716
24.841 138.205 2533.133 25 1.884 54927.89534109
27.568 163.584 1408.642 19 1.244 54927.91003625
8.716 46.454 4509.596 33 1.000 54927.95581523
24.163 11.751 2193.479 17 0.888 54928.04677833
6.445 137.349 2579.740 18 0.650 54928.05209740
20.744 311.273 9014.402 41 1.683 54928.10899003
69.525 175.148 1043.904 21 1.329 54928.11524413
2.817 266.395 1609.199 17 2.558 54928.15951306
22.325 329.392 1516.083 29 0.973 54563.05727666
0.454 178.932 2753.983 19 0.971 54563.10002324
8.410 276.364 7289.213 45 0.412 54563.10834428
19.916 112.321 1519.384 19 1.404 54563.11133610
5.658 144.973 1641.719 18 1.906 54563.11711419
1.466 198.424 4068.437 19 0.954 54563.19697941
40.149 57.131 3984.026 31 1.428 54563.23714137
22.187 72.112 5237.334 29 0.821 54563.25425735
71.862 88.618 1941.922 18 1.649 54563.27122569
8.359 279.929 2873.534 23 1.513 54563.27215362
56.626 37.369 1203.985 18 1.754 54563.30934409
22.142 6.196 2294.624 19 0.855 54563.30962061
6.712 209.113 8737.407 34 0.593 54563.36808046
80.239 161.747 1273.132 23 2.047 54563.37145404
1.949 137.731 3139.076 18 1.188 54563.37181914
5.726 93.550 1125.702 17 1.562 54563.38351210
3.590 5.546 1929.946 17 2.255 54563.38842712
10.774 232.392 1442.559 24 1.720 54563.39547763
23.929 108.320 1800.410 17 1.458 54563.39605472
14.281 101.417 1278.252 20 2.936 54563.42624934
2.680 148.320 4238.858 20 1.123 54563.42748415
9.674 307.661 1927.167 21 1.080 54563.46306409
26.585 183.655 2232.770 24 1.039 54563.49812144
16.363 13.314 10781.357 54 1.281 54563.53751128
29.227 48.189 2637.102 19 0.579 54563.53828937
63.783 273.337 1447.262 19 0.951 54563.57047674
41.274 271.002 3072.959 26 1.310 54563.57982401
3.163 122.432 1260.450 15 1.293 54563.58175619
61.288 322.671 1389.636 29 0.942 54563.59794004
34.091 8.386 1451.333 17 1.188 54563.60292217
36.055 13.172 4082.923 51 0.902 54563.61691527
0.938 342.047 1615.945 19 0.992 54563.66945442
54.443 329.045 6175.380 72 0.422 54563.68555180
23.164 324.787 2456.043 15 2.654 54563.71053063
10.549 152.734 5156.504 41 1.386 54563.72536358
17.271 203.726 1533.357 15 1.137 54563.74175585
18.758 216.067 1282.107 17 1.171 54563.75330861
78.903 75.998 1249.203 24 0.715 54563.81896960
27.219 61.186 3205.485 23 0.545 54563.82862245
11.872 270.695 2382.245 26 0.740 54563.86687664
0.635 116.758 4868.648 15 1.086 54563.87900705
9.142 281.284 2267.620 28 1.390 54563.91640855
26.281 127.201 1946.753 29 0.391 54563.91699190
35.179 71.471 2625.722 20 0.629 54563.94008704
26.899 62.279 9843.767 20 1.908 54563.95098143
40.477 215.673 1997.887 24 1.247 54563.96103124
70.976 83.741 2481.977 13 1.219 54563.98467479
2.850 336.374 3606.709 24 2.402 54564.00518634
42.499 162.468 3326.739 33 1.019 54564.02206712
6.675 170.894 2399.857 32 1.265 54564.02265570
44.488 124.749 2918.154 31 0.552 54564.04633076
32.167 305.898 2457.740 24 1.522 54564.04880613
58.626 281.007 2662.592 16 1.197 54928.20670839
17.613 31.846 3185.191 26 1.505 54928.22894663
4.255 207.704 1453.167 16 1.021 54928.25224313
2.980 310.697 1654.693 18 1.453 54928.26119144
5.776 97.077 1970.160 16 0.767 54928.45848457
64.426 269.133 3915.588 31 1.082 54928.61291546
3.911 194.743 1461.636 29 0.719 54928.66233826
26.083 356.104 21246.339 26 1.902 54928.69139994
23.458 76.204 2373.289 19 0.952 54928.71317011
22.278 5.981 1221.721 22 0.651 54928.71742710
7.202 351.517 4895.743 21 2.884 54928.74653788
22.485 165.935 12424.076 52 2.045 54928.76429415
11.340 40.730 1785.520 18 1.258 54928.78220542
54.718 259.054 5066.138 77 0.581 54928.81401618
69.385 38.799 1752.609 22 0.618 54928.82340334
72.822 1.433 1844.679 24 0.545 54928.90371621
20.058 8.819 3060.730 13 1.083 54928.92594124
38.173 88.416 2350.102 29 2.260 54928.94573724
40.249 147.527 1398.192 26 0.830 54928.96493511
47.054 198.966 4746.650 20 0.924 54928.96522123
18.252 250.894 1802.422 25 1.122 54928.97258668
13.078 15.220 5101.789 17 1.170 54929.08216939
15.355 313.683 2122.279 15 2.893 54929.10595408
21.184 114.221 1619.045 19 0.724 54929.13413945
41.623 144.026 1895.616 18 0.598 54929.16613951
33.403 190.919 2809.464 31 0.593 54929.18927862
4.340 342.858 2721.250 25 1.298 54929.19530287
45.092 18.573 7251.134 63 2.033 54564.08259736
13.899 168.653 2623.904 18 0.513 54564.08790925
9.896 346.333 630.524 15 0.728 54564.13403046
45.557 221.659 3488.267 14 0.558 54564.17552416
42.600 154.290 4017.590 76 0.599 54564.18283023
3.422 172.601 1403.997 24 1.012 54564.19043462
5.052 335.160 2103.169 18 1.177 54564.22106570
14.018 186.833 1954.481 20 0.719 54564.24476250
70.818 19.504 1523.387 13 0.931 54564.28100154
36.609 42.554 2255.076 27 0.757 54564.35197199
7.429 117.067 2439.219 22 0.914 54564.42020411
10.985 82.995 2115.983 16 1.159 54564.44603283
41.682 117.779 2934.062 27 0.832 54564.44978185
40.753 80.097 1620.157 15 0.423 54564.47887291
6.317 145.279 1451.739 18 0.879 54564.52513558
25.389 108.357 1455.857 18 1.106 54564.57840424
46.305 33.956 4508.659 25 2.605 54564.58158646
36.590 128.047 1942.954 17 2.325 54564.61143814
47.004 12.555 2675.998 47 0.685 54564.64196466
21.291 88.747 1233.998 13 1.642 54564.69379101
9.363 182.519 1819.213 22 0.784 54564.69572791
17.259 234.890 1570.163 18 1.263 54564.73015014
51.369 201.679 5214.461 23 0.861 54564.73046596
30.325 17.790 1950.757 13 1.216 54564.85139684
20.662 80.234 4404.509 17 1.404 54564.85603965
6.692 197.550 32939.859 91 0.401 54564.88331282
10.015 325.221 2894.951 20 1.002 54564.90671018
70.389 241.176 1080.046 23 1.355 54564.92682801
10.301 248.939 2355.708 16 2.114 54564.93765277
65.137 259.147 1313.376 14 0.935 54565.03468501
7.114 334.025 57735.147 23 0.561 54565.04575913
21.793 216.980 2555.120 19 2.147 54565.04588257
14.145 303.110 40283.984 106 1.068 54565.04798275
19.783 245.279 3468.299 18 2.279 54929.31746978
32.433 239.693 1038.635 22 1.214 54929.37078934
23.533 92.042 1318.581 22 0.972 54929.37758318
45.279 81.958 6311.261 19 0.770 54929.38206916
27.356 300.180 1964.304 19 1.523 54929.41711227
1.656 274.240 2434.317 18 0.610 54929.43196221
50.662 181.052 4023.403 26 0.698 54929.47229645
26.670 267.133 1736.494 27 0.672 54929.49294036
3.090 39.078 2733.266 17 1.345 54929.50197907
1.613 261.991 7131.306 76 1.005 54929.51158252
31.222 139.685 2281.696 31 0.420 54929.51791841
2.162 296.085 4443.933 16 1.470 54929.62950217
19.844 81.660 1375.707 15 1.759 54929.62961050
23.920 180.779 7084.816 31 1.072 54929.67699546
62.848 244.834 1387.858 31 0.692 54929.69881204
79.578 62.122 1543.988 33 0.528 54929.70887923
8.397 199.772 19957.431 71 0.886 54929.83991650
14.031 52.320 1167.851 16 1.519 54929.85543897
16.725 79.861 1171.249 19 0.916 54929.86152933
41.484 195.903 12054.608 24 2.044 54929.86406092
53.869 355.068 1767.348 16 1.798 54929.88800587
15.571 276.201 687.973 16 1.182 54929.92053691
