# Dec(deg) RA(deg) MueE(photon*m)  NChan   AngErrorEstimate(deg)   MJD
0.445 163.495 3313.682 50 0.774 54835.42827705
38.195 246.489 1366.228 15 1.274 54835.48177067
0.884 93.970 1349.120 19 0.587 54835.55877963
35.254 232.279 1679.891 18 1.293 54835.55946933
39.937 216.302 1324.799 21 2.343 54835.60772607
40.210 62.280 4691.191 25 1.177 54835.61121900
11.392 289.795 1956.732 14 0.980 54835.61860443
7.206 249.764 1314.987 22 0.760 54835.62355930
3.419 51.491 1277.495 20 1.385 54835.62398793
46.022 228.676 1038.321 14 1.487 54835.64392605
4.538 31.803 4953.953 27 0.824 54835.66400062
3.562 241.361 5221.544 31 2.141 54835.69252717
2.870 263.041 2076.005 27 1.018 54835.69670277
12.564 292.941 3234.213 23 0.416 54835.71488353
30.552 141.736 979.363 18 1.723 54835.73387952
30.723 310.769 6501.968 24 1.410 54835.75673190
41.580 45.221 2568.203 21 0.586 54835.76691054
54.050 278.882 1101.240 12 1.320 54835.77939608
3.702 227.509 3107.090 29 2.019 54835.79913070
51.208 331.919 2285.087 29 0.493 54835.80571522
13.571 95.254 8549.945 32 0.843 54835.86693364
21.788 242.981 6631.827 43 1.077 54835.92322317
8.752 18.139 2319.369 33 0.736 54835.92646596
25.011 243.898 2762.129 19 1.150 54835.93093408
4.710 160.367 1158.203 16 0.976 54835.94034917
5.715 147.059 1889.957 14 0.967 54835.95525598
13.868 85.681 1366.446 14 1.138 54835.99050803
54.477 252.377 1141.719 21 1.115 54836.09740088
17.867 92.515 2981.995 40 0.387 54836.12436999
61.886 66.526 690.586 14 1.327 54836.15160841
83.324 219.715 760.558 21 2.727 54836.17762627
22.099 100.540 839.247 15 0.807 54836.18887124
57.890 113.742 1440.251 22 0.649 54836.23451678
1.473 292.674 2558.401 20 0.706 54836.29611668
9.076 308.664 3482.766 26 1.645 54836.33487853
8.330 142.407 1405.641 21 1.708 54836.37245116
23.316 82.198 8166.167 27 1.371 54836.37385974
17.686 87.852 57626.752 47 2.363 54836.38152322
1.142 8.995 7040.198 31 1.047 54836.38714159
4.919 78.387 2966.970 17 1.131 54836.48444022
43.018 6.766 1052.046 16 1.048 54836.49059019
11.883 152.480 2275.700 21 0.827 54836.50262593
26.070 159.788 10058.375 55 1.492 54836.51752195
0.263 203.396 5425.083 20 1.156 54836.53981697
4.069 232.795 5760.208 69 0.318 54836.57802197
18.726 107.268 2052.230 23 1.093 54836.57951705
45.345 259.316 1610.038 20 0.358 54836.62241914
16.416 44.353 3905.904 14 0.803 54836.70446765
36.875 157.266 1414.556 18 1.524 54836.79072290
37.760 53.948 2631.441 19 0.965 54836.79812842
13.177 111.951 2783.617 32 0.772 54836.81536286
75.698 263.947 1362.277 31 1.022 54836.84600115
15.884 106.708 6627.480 17 1.363 54836.86572667
3.066 221.001 4052.665 23 1.767 54836.88449095
33.219 7.751 9603.811 59 0.597 54836.88516075
35.288 10.244 977.339 24 1.095 54836.91111682
42.182 206.021 1693.682 32 1.142 54836.98644294
67.659 273.020 1072.965 18 0.534 54836.99057840
7.157 204.114 2134.578 19 0.834 54837.00164695
15.159 31.631 4273.837 27 0.433 54837.05469734
26.433 242.780 1617.587 20 0.855 54837.10852889
42.198 241.135 888.159 18 0.826 54837.11276821
50.167 319.455 3042.070 17 1.995 54837.17211289
55.413 160.235 8700.813 78 1.512 54837.27779486
41.549 178.514 3998.333 26 0.567 54837.30134216
15.601 117.500 2383.149 20 0.522 54837.31556728
16.957 177.355 1089.825 16 1.291 54837.31731689
66.016 18.730 1033.882 21 1.368 54837.33056749
36.142 64.500 1628.483 14 1.099 54837.34139049
54.109 200.182 1658.267 28 0.478 54837.40426279
15.185 327.417 2406.629 31 1.902 54837.40944263
47.357 192.509 1339.934 11 0.509 54837.42431519
15.564 135.582 8628.082 34 1.124 54837.53887114
10.413 327.508 3123.700 17 1.482 54837.57650315
20.392 222.767 1813.315 34 0.996 54837.57716607
17.121 223.001 1680.128 16 1.298 54837.57738539
71.289 309.330 3059.688 27 1.167 54837.61231448
32.542 55.998 3476.656 41 0.982 54837.61326877
29.720 110.206 2118.081 23 0.803 54837.61701787
4.677 290.171 2411.201 20 0.558 54837.61759936
66.796 237.337 1788.590 25 1.184 54837.67265178
71.845 152.600 2861.747 34 0.866 54837.69024630
38.614 299.173 1148.554 16 0.924 54837.82493514
2.201 239.610 4633.252 19 0.909 54837.85986914
7.906 355.432 2102.223 29 0.887 54837.86756717
53.082 221.430 1950.920 37 0.848 54837.89416458
4.337 121.477 2097.483 21 2.861 54837.89938193
4.074 174.365 1716.363 30 0.797 54837.91771320
15.315 170.700 1862.404 24 0.834 54837.95438683
16.248 133.906 3196.348 26 1.344 54837.97799339
12.059 55.833 649.614 15 0.986 54838.01285932
59.685 106.673 1054.345 17 2.089 54838.31406196
5.488 74.533 10405.689 20 0.703 54838.35684668
61.035 133.869 2075.674 21 1.523 54838.36964468
12.214 309.948 2790.035 18 0.910 54838.38415477
42.119 81.088 4192.007 35 2.736 54838.41398015
31.210 44.647 2546.862 19 0.492 54838.43774551
2.518 72.920 1149.907 16 0.945 54838.56835357
73.905 234.442 1350.809 13 2.572 54838.60036980
16.390 258.210 1690.829 22 0.649 54838.60076499
0.503 265.077 5968.959 43 0.491 54838.60793750
16.024 42.032 1486.275 18 0.810 54838.62377097
58.521 149.416 1999.349 30 0.890 54838.65900799
43.559 102.004 2831.068 44 0.829 54838.66266092
4.297 277.554 2362.676 40 0.594 54838.69518895
3.861 129.647 2926.652 27 1.264 54838.74536411
15.837 324.202 3409.720 21 1.289 54838.74537369
28.236 291.814 1425.532 27 1.404 54838.78762502
48.908 277.024 1414.705 26 1.060 54838.79511449
4.285 207.818 1982.653 24 1.263 54838.85639330
10.869 26.006 2080.954 16 0.939 54838.87663075
13.579 333.669 2369.947 31 0.974 54838.88862653
28.900 161.340 9319.797 22 1.722 54838.91022749
8.087 357.078 18604.370 30 0.836 54838.91151805
21.077 129.837 3485.584 32 0.819 54838.92321642
20.774 193.446 2123.423 11 0.873 54838.93569371
81.697 194.598 1013.245 21 1.979 54838.94981471
49.175 274.440 2407.098 20 0.479 54838.95637292
38.417 222.871 2204.686 25 0.717 54838.96114919
21.602 240.796 2438.480 17 0.600 54838.98606522
54.341 285.512 1665.711 12 0.572 54839.04196932
18.137 162.664 4005.272 25 0.790 54839.09114006
10.477 104.664 10882.945 37 0.663 54839.09636151
6.956 127.123 2912.434 28 0.521 54839.19924765
52.124 294.886 1565.391 29 0.543 54839.27209591
62.467 249.406 4639.268 35 2.375 54839.30307086
53.271 93.680 1175.215 24 0.521 54839.39426669
